번호,프로그램명,테마별 분류,서비스 지역,프로그램 소개,프로그램 상세 소개
23,"[수학여행] 하늘이 내린 선물, 남해 알찬 여행",",아동·청소년 체험학습,",경상남도 남해군 일원,"이락사와 충렬사, 거북선, 다랭이 논, 남해 보리암, 상주해변, 독일마을, 지족 죽방렴, 남해 바래길"," 이순신 장군의 혼이 담긴 노량의 바다와,  남해의 사람들이 일군 다랭이 논과,  산 자체가 문화재인 남해 금산,  남해안 제일의 해수욕장 상주해변,  전통 어업방법인 죽방렴 체험을 통해  산과 바다와 사람이 어우러진 300리 아름다운 바닷길 한려해상국립공원의 남해를 만나세요"
24,돌담길 따라 문화를 엿보고 숲길 따라 자연을 담아요!,"농어촌생태체험,문화생태체험,자연생태체험,",경상남도 산청군,목면시배유지 ~ 남사예담촌 ~ 중산리탐방안내소 ~ 중산리 자연관찰로 ," 산청군 지리산자락의 문화를 만끽하고 <BR>지리산국립공원 자연을 즐길 수 있는 여행"
25,지리산국립공원 생태체험 학습!,"자연생태체험,문화생태체험,","경상남도 산청군, 하동군등",중산리탐방안내소~중산리 자연관찰로~하동쌍계사~하동 차문화센터, 지리산국립공원의 자연환경과 문화유산을 탐방하면서 느끼고 체험할 수 있는 프로그램입니다.
26,이충무공의 얼을 찾아 떠나는 한산도 역사여행,문화생태체험,경상남도 통영,"한산도 자전거 투어, 이충무공유적지 역사 탐방, 염개갯벌 생태체험, 대나무를 이용한 어로체험, 바다 패각을 이용한 소망초 만들기, 캠프파이어 등", 한산대첩 승리의 역사가 살아 숨쉬는 통영 한산도에서 아름다운 바다를 배경으로 해상공원에서만 만날 수 있는 각종 특색있는 체험놀이가 준비되어 있습니다.
27,이충무공의 얼을 찾아 떠나는 한산도 역사여행(당일형),"문화생태체험,",경상남도 통영,"이충무공유적지 역사 탐방, 한산도 자전거 투어, 대나무 어로체험", 한산대첩 승리의 역사가 살아 숨쉬는 통영 한산도에서 아름다운 바다를 배경으로 해상공원에서만 만날 수 있는 각종 특색있는 체험놀이가 준비되어 있습니다. 
28,국립공원과 함께하는 우리의 전통문화,"역사문화,",경상남도 통영,"달아공원 탐방, 통영전통공예관, 향토역사관, 이순신공원 등", 한려해상국립공원의 여러 섬들을 볼 수 있는  달아공원탐방과 통영 전통문화를 엿보는 전통공예관과 향토역사관 탐방 등 우리의 전통문화를 둘러 보는 시간입니다. ^^*
29,"아름다운 나의 조국, 아름다운 국립공원!","해안생태,",경상남도 통영,"대우조선해양 견학, 학동, 바람의 언덕 일원 등", 수려한 자연경관을 지닌 아름다운 학동 해수욕장에서의 '둥글둥글 몽돌이야기'와 대우조선햐영 조선소의 견학 등 즐거운 체험이 기다리고 있습니다 ^^
30,국립공원과 함께하는 건강나누리캠프,"건강나누리캠프,",경상남도 통영시,"미래사 편백숲 탐방, 친환경 먹거리 체험, 자연해설 프로그램 진행, 아토피 관련 전문강의 등"," 미래사 편백숲 탐방, 친환경 먹거리 체험, 자연해설 프로그램 진행, 아토피 관련 전문강의 등 아토피 환아 및 부모님들을 위한 유용한 내용으로 꽉 채워져 있습니다. "
31,지역학교 미래세대와 함께하는 생태관광,"아동·청소년 체험학습,",경상남도 통영시 일원,"통영 미륵산, 달아전망대 등"," 지역학교 미래세대들과 함께 할 수 있는 체험형 프로그램입니다. 국립공원 숲에서 만나볼 수 있는 식물에 대해 알아보고, 달아전망대에서 섬 이야기에 대해 들어볼수도 있습니다. "
32,"[수학여행, 2박3일]임진왜란 A to Z, 통영 물빛 여행","아동·청소년 체험학습,",경상남도 통영시 일원,"1일차-진주(국립진주박물관 등), 통영(한산도 등). 2일차-통영(한산도 제승당 등), 3일차-통영(케이블카 등)"," 임진왜란과 한산대첩 그리고 한산도 제승당, 그 역사의 현장에서 듣는 생생한 이야기.  어느새 시간이 훌쩍~ 전통어시장을 돌아버고, 직접 어부가 되어보는 체험!  한려수도의 전경을 한눈에 담아갈수 있는 케이블카 체험 등 알짜코스로 구성되어 있습니다. "
33,통영 섬마을에서 만나보는 갯벌친구들,"자연생태체험,",경상남도 통영시 학림도 일원,"한려해상국립공원 알아보기, 갯벌의 이해, 갯벌생물 알아보기 등"," 한려해상국립공원내 아름다운 섬마을, 학림도에서 만나보는 갯벌과 그곳에 사는 갯벌친구들을 만날수 있습니다 (성인 1인-15,000원, 어린이-5,000원) (※ 현지사정으로 인한 금액 변동가능)"
34,자연을 걷다...원시림을 간직한 칠선계곡 (올라가기),자연생태,경상남도 함양 추성마을,칠선계곡 올라가기(추성주차장 ▶ 비선담 ▶ 칠선폭포 ▶  천왕봉 / 9.7km) ," 자연과 시간이 시작되는 곳 <BR>지리산국립공원 칠선계곡의 <BR>원시림을 만끽하며 걷는 프로그램"
35,"신.바.람 수학여행! 가야산국립공원 (합천, 통영, 고령)",아동·청소년 체험학습,경상남도 합천군 가야면,"해인사와 팔만대장경 역사문화해설, 가야산소리길 걷기 및 자연해설, 팔만대장경 인경체험 등", 유네스코 세계기록유산 팔만대장경과 해인사를 품은 가야산국립공원에서 즐기는 신나는 수학여행으로 여러분을 초대합니다.
36,가야산역사문화 체험 100배 즐기기,건강나누리캠프,경상남도 합천군 가야면,"해인사 역사문화 해설(팔만대장경판 탁본체험), 전통인절미 만들기체험"," 역사문화해설 및 팔만대장경 인경체험, <BR>전통인절미 만들기 체험등으로 구성"
37,건강나누리 캠프,"건강나누리캠프,자연생태체험,",경상북도 경주시,자연속에서 놀자! 힐링 캠프, 최근 환경성질환이 증가됨에 따라 환경오염이 적은 국립공원에서 자연생활 체험기회를 제공하여 아이들의 스트레스를 줄이고 스스로 이겨낼 수 있다는 자신감과 의지를 갖게하는 자연치유 프로그램
38,사회탐구 교육과정을 접목한 경주역사문화탐방,"문화생태체험,",경상북도 경주시,사회탐구 교과과정을 중심으로 경주의 문화유적 현장답사와 이론 교육," 사회탐구 교과과정을 중심으로 경주의 문화유적 현장답사와 이론교육, 문화재를 활용한 체험프로그램 개발 등 입체적 학습으로 신라의 문화와 정신에 대한 전문성을 함양하여 교육과정에 접목함을 목적으로 함"
39,자연나누리 캠프,"문화생태체험,아동·청소년 체험학습,",경상북도 경주시,세계문화유산을 찾아 떠나는 여행, 자연나누리캠프를 통해 경주와 서울의 세계문화유산을 배우고 국립공원의 자연놀이를 통해 재미와 자연이 주는 이로움까지 동시에 접해보는 프로그램
40,[수학여행] 신ㆍ바ㆍ람 경주국립공원,"PL01,아동·청소년 체험학습,",경상북도 경주시,"불교 유적 보물창고 남산유적지구, 뮤지컬 미소2['신국의 땅, 신라'], 근대문화유산의 거리, 방짜유기박물관"," 신라 천년 불교유적지와 남산 국립공원트레킹, 근대 문화유산의 보고 ""대구 골목길 투어"", 시인 이상화 선생의 고택과 자취, 3.1운동 계단에서 힘차게 외쳐보는 ""대한독립만세!""가 가슴을 뭉클하게 합니다."
41,세계속의 경주,"문화생태체험,",경상북도 경주시,세계문화유산에 등재된 경주의 문화재 탐방," 외국인들도 편안하고 효율적으로 세계적인 문화관광도시인 경주를 여행할 수 있게 하고, 한국의 아름다운 전통문화를 체험할 수 있게 함으로써 경주국립공원을 세계적으로 알리고자 합니다."
42,수학여행_역사와 문화가 살아 숨쉬는 백두대간 유람 여행,"아동·청소년 체험학습,",경상북도 소백산 및 월악산국리공원 일원,"1일차 : 부석사, 소수서원, 선비문화체험, 2일차 : 죽령옛길, 도담삼봉, 한드미 마을(농촌체험) 3일차 : 단양 선암계곡 사인암, 충주호 유람선 관광 "," 1일차 : 불교 문화와 유교 문화의 중심의 프로그램 진행 2일차 : 백두대간에 깃든 전통 문화체험 3일차 : 단양 8경 속에서 신선이 되다!(단양 8경, 충주호 유람선)"
43,자연과 역사가 함께하는 소백산 체험 여행,"문화생태체험,",경상북도 영주시 풍기읍 수철리 산 86-51,1.부석사 2.소수서원(선비촌) 3.죽령옛길 4.장외나루, 소백산 및 인근에 위치한 역사문화자원 답사 프로그램
44,친구들아 떠나자! 소백산의 자연속으로,"자연생태체험,",경상북도 영주시 풍기읍 수철리 산86-51번지,1.희방계곡  2.죽령옛길," 소백산 인근의 희방계곡에서 자연생태를, 죽령옛길에서 역사문화를 배우는 프로그램"
45,신·바·람 수학여행 주왕산국립공원,"아동·청소년 체험학습,",경상북도 청송군 부동면 공원길 169-7,"(1day)안동하회마을 - (2day)주왕산국립공원, 영덕 블루로드 - (3day)울진 월송정, 성류굴, 나라골 보리말 체험마을"," '한국의 그랜드캐넌' 주왕산국립공원, 유네스코 세계문화유산 안동하회마을의 고아함과 자긍심 그리고 푸른 바다와 푸른 하늘이 맞닿은 영덕 블루로드 트레킹에 호연지기가 절로 길러진다. "
46,자연과 함께하는 우리문화 탐방,"문화생태체험,",경상북도 청송군 부동면 공원길 169-7,주왕산 탐방안내소 → 점심식사→ 주왕산 탐방→송소고택→한지체험장→소감나누기 및 마무리," 청정지역 주왕산생태관광에 참여하시면! <BR> 역사와 문화, 웰빙관광을 맘껏 즐길 수 있습니다."
47,사과향기 가득한 주왕산 농촌체험,"자연생태,",경상북도 청송군 부동면 상의리,주왕산 탐방안내소 → 주왕산나들이 → 송소고택 → 설문조사 및 느낌 나누기," 청정지역 주왕산생태관광에 참여하시면! <BR>자연을 감상하고 배우며 역사와 문화, 웰빙관광을 맘껏 즐길 수 있습니다*^^*"
48,솔향기 따라 떠나는 주왕산 이야기,"자연생태체험,",경상북도 청송군 부동면 상의리 406번지,주왕산국립공원 탐방안내소 → 점심식사→주왕산 생태해설→청송양수발전소→설문조사 및 마무리," 청정지역 주왕산생태관광에 참여하시면! <BR>맑은 공기와 곳곳에 은은하게 핀 산 속 야생화들이 아름다운 자태를 뽑낼 즈음 주왕산에 오신 여러분은 역사와 문화, 웰빙관광을 맘껏 즐길 수 있습니다."
49,계룡산국립공원과 함께하는 건강나누리 캠프,건강나누리캠프,대전광역시 계룡산국립공원 수통골지구,계룡산국립공원 수통골지구에서 진행됩니다.," 아토피피부염, 천식, 등 환경성질환 환아 대상 체험프로그램입니다."
50,북한산국립공원과 함께하는 건강나누리 캠프,건강나누리캠프,서울특별시 ,," 천식 및 아토피 피부염으로 고통받고 있는 어린이를 대상으로 북한산 둘레길 자연체험 프로그램을 통해 질환에 대한 긍정적 사고 증진 및 자연환경과 건강의 긍정적인 관계를 느낌으로써 환경성질환의 예방 및 치료효과 향상에 대한 방안 제시합니다! "
51,북한산국립공원과 함께하는 FUSION SEOUL 탐방,"아동·청소년 체험학습,",서울특별시 ,," 서울을 숨 쉬게 하는 곳, 북한산 둘레길! 그곳엔 자연생태 뿐만 아니라 순국선열의 얼이 담겨있다. 모든 곳이 놀이터와 같은 서울에서 역사도 배우고, 문화를 느끼며 친구들과 신나게 놀이기구도 탈 수 있는 기회가 바로 여기에 있다. "
52,레인저와 함께하는 북한산둘레길 트레킹,",자연생태체험",서울특별시 ,당일형," 하늘과 숲이 만나는 곳, 북한산국립공원 둘레길을 소개합니다. 북한산국립공원에서 운영되는 ‘함께걷는 즐거움! 북한산둘레길 생태관광’은 산을 찾으면 정상을 정복해야 한다는 고정관념에서 벗어나 복잡한 일상의 스트레스를 짙은 숲내음과 피톤치드로 해소할 기회를 제공합니다.  "
53,국립공원과 함께하는 건강나누리 캠프,"건강나누리캠프,",서울특별시 도봉구,자연건강생태체험, 자연건강생태체험
54,도봉산자락 따라 떠나는 둘레길 도보여행,"자연생태체험,",서울특별시 도봉구,자연생태체험, 자연생태체험
55,<수학여행>도봉옛길 & 서울을 한눈에,아동·청소년 체험학습,서울특별시 도봉구,"북한산둘레길(도봉옛길), 국립중앙박물관, N타워-테디베어뮤지엄, 창덕궁, 인사동, 서울대공원, 서울랜드"," 서울을 숨쉬게 하는 곳, 북한산둘레길! 그곳엔 자연생태뿐만 아니라 조상의 정취를 느낄 수 있다. 모든 곳이 놀이터와 같은 서울에서 역사도 배우고 문화를 느끼며 친구들과 신나게 놀이기구도 탈수 있는 기회가 여기에 있다."
56,<수학여행>도봉옛길 & Exciting Seoul,아동·청소년 체험학습,서울특별시 도봉구,"경복궁, 청계천, 남산한옥마을, 국립중앙박물관, 과천국립과학관, COEX아쿠아리움, 롯데월드, 북한산둘레길(도봉옛길)트레킹, 나만의 액자만들기"," 서울을 숨쉬게 하는 곳, 북한산둘레길! 그곳엔 자연생태뿐만 아니라 조상의 정취를 느낄 수 있다. 모든 곳이 놀이터와 같은 서울에서 역사도 배우고 문화를 느끼며 친구들과 신나게 놀이기구도 탈수 있는 기회가 여기에 있다."
57,북한산성의 옛 자취를 찾아서,느낄거리,서울특별시 은평구 진관동,," □ 북한산국립공원의 자연생태와 함께 역사문화체험을 통한 옛 선조들의 전통을 이해하고  마음의 휴식과 여유를 즐기며, 자연의 소중함과 역사의 가치를 배울 수 있는 시간이 될 것 입니다 <BR>"
58,"NatuerHolic, 팔영산 건강과 예술을 품다","문화생태체험,",전라남도 고흥군 일대,"[1일차] 고흥 팔영산지구 자동차야영장, [2일차] 고흥 팔영산지구 편백숲 일원"," 1박2일동안 가족과 함께 다도해해상국립공원의 신규 편입지역인 팔영산에서 자연체험놀이를 통해 화합의 기회를 제공하고, 더불어 국립공원을 친환경적인 휴식과 체험 학습의 공간으로 인식되도록 프로그램이 기획되었습니다."
59,반달가슴곰과 함께 걸어보아요(당일형),"자연생태체험,문화생태체험,",전라남도 구례,탐방안내소.종복원센터.화엄사.성삼재~노고단트래킹, 지리산길을 걸으며 아름다운 자연 경관 문화자원을 접해볼 수 있는 당일형 생태관광입니다.
60,반달가슴곰과 함께 떠나는 노고단 여행(1박2일),"자연생태체험,",전라남도 구례,"국립공원종복원센터, 노고단 탐방, 사찰 체험"," 지리산국립공원의 자연 생태와 문화자원!  고즈넉한 산사체험이 여러분을 기다리고 있습니다 "
61,수달이 들려주는 섬진강 이야기,"자연생태체험,문화생태체험,",전라남도 구례,탐방안내소 ▷ 화엄사 ▷ 국립공원종복원센터 ▷ 섬진강 ▷ 섬진어류생태관 ▷ 야외수달전시장, 화엄사를 둘러보고 반달가슴곰과 수달을 만나러 떠나는 당일형 생태관광프로그램입니다.
62,국립공원 건강나누리캠프,"아동·청소년 체험학습, ",전라남도 도초도,도초도 시목일원, 도초도 시목해변과 곰솔숲에서 펼쳐지는 건강찾기프로그램
63,돌피니를 따라서,"놀거리,느낄거리,볼거리",전라남도 신안군 도초면 우이도 일원,동양 최대의 사구가 위치한 우이도에서 다도해해상국립공원 마스코트인 돌피니와 함께 즐거운 1박 2일, 우이도는 한국에서 유일하다는 거대한 모래언덕을 가진 섬으로 섬의 형상이 소의 귀처럼 생겼다하여 우이도라 불리운다. 스물 일곱개의 섬들이 모여진 섬이다.
64,나만의 열 두 가지 휴식(영산도 명품마을),"자연생태체험,",전라남도 신안군 흑산면 영산도리,"1일차(바다숲 힐링체험, 해설프로그램'소원의 섬, 영산도') 2일차(유람선 타고 영산도 한 바퀴)"," 유네스코 생물권 보전지역으로 파란 바다와 어우러진 후박나무 숲이 인상적인 영산도.  아무도 나를 모르는 이곳으로 일상에 지친 나를 치유하러 떠나보자. "
65,공감! 남도문화가 어우러진 월출산국립공원 기행,농어촌생태체험,전라남도 영암,월출산 탐방안내소 관람 ~ 녹향월촌 농촌문화체험 ~ 남도답사 1번지 무위사," 기암괴석으로 둘러싸인 월출산 탐방안내소를 관람하고 해설가가 안내하는 남도답사 1번지인 무위사 답사 와 자연체험 이후 달맞이마을 전통문화체험(떡매치기, 투호놀이,미꾸라지잡기,농촌마을 농작물 수확 등 중 선택)을 할 수 있는 당일형 생태관광 프로그램"
66,사회성증진프로그램,"아동·청소년 체험학습,문화생태체험,자연생태체험,농어촌생태체험,",전라남도 영암군 영암읍 천황사로 280-43 월출산국립공원 사무소,,
67,국립공원 건강나누리캠프,건강나누리캠프,전라남도 영암읍 월출산국립공원사무소,월출산국립공원 일원," 공원 인근 및 도시 지역의 환경성질환(아토피 등)으로 고통 받고 있는 어린이들에게 국립공원의 자연체험과 아토피 관련 교육프로그램을 제공하여 국립공원의 가치 증진과 이미지 제고는 물론 환경성질환 예방 및 치료에 도움을 주고자 함 "
68,슬로시티 청산도로 떠나는 수학여행,"아동·청소년 체험학습,",전라남도 완도군 및 해남군 일대,서울 출발 ~ 청산도 입도(1일차) / 청산도 ~ 완도(2일차) / 완도 ~ 해남 ~ 서울(3일차), 우리나라 최초의 슬로시티 청산도에서 경험하는 느림의 미학을 통해 심신을 단련하고 색다른 남도의 생활을 경험해 보는 시간
69,"슬로시티, 청산에 살어리랏다","문화생태체험,",전라남도 완도군 청산도 일대,[1일차] 완도 ~ 청산도 / [2일차] 청산도 ~ 완도," 2007년 아시아 최초 '슬로시티'로 지정되고, 문화관광부에서 가고 싶은 섬으로 지정된 청산도에서 느림의 문화와 우수한 자연경관 속에서 휴식과 감성을 회복하며, 일상의 스트레스를 잊으며 건강을 되찾아가는 휴양프로그램"
70,다도해의 보물을 찾아서,"농어촌생태체험,",전라남도 완도군~여수시,"[완도군 일대] 장보고기념관, 정도리 구계등, 완도수목원 / [보길도] 세연정, 낙서재, 곡수당, 동천석실 / [청산도] 슬로길, 명품상서마을 / [금오도] 비렁길", 다도해해상국립공원의 약 150개의 유무인도서 중 완도지역의 특색있는 도서문화를 체험할 수 있는 도서탐방프로그램을 통한 역사와 우수한 자연경관을 감상하며 둘러보는 남도 도서생태체험프로그램
71,[당일형] 비자향 가득한 백암산으로 떠나는 여행,자연생태체험,전라남도 장성군 북하면 약수리,백양골자연관찰로-죽향체험마을-죽녹원 또는 백양골자연관찰로-내장산(케이블카), ○ 아름다운 백양골자연해설 후 죽향체험마을 체험과 죽녹원 탐방을 하거나 내장산 전망대 케이블카 탑승을 할 수 있는 당일형 생태관광 입니다.
72,[수학여행] 너와 내가 친구되는 감동여행,아동·청소년 체험학습,전라남도 장성군 북하면 약수리,전주한옥마을-내장산-입암산-고창고인돌유적지-만돌갯벌학습장-부안줄포-곰소항-채석강, ○ 기존의 수학여행이 스쳐가는 관광지나 박물관을 둘러보는데 그쳤다면 이번 수학여행은 걸어보고 느껴보고 직접 체험하는 여행으로 학생들에게 잊지 못할 색다른 여행이 될 것입니다.
73,[수학여행] 비자향 가득한 백암산으로 떠나는 여행,"자연생태체험,",전라남도 장성군 북하면 약수리,백양골자연관찰로-담양죽향체험마을-죽녹원-입암산(남창계곡), ○ 백양골 아름다운 자연을 느끼고 담양죽녹원에서 죽림욕도 하며 여러 체험들도 함께 할 수 있는 즐거운 생태관광입니다.
74,"수학여행 ""노을따라 물결따라""","아동·청소년 체험학습,",전라남도 신안군 흑산도 ~ 홍도 일원,목포에서 출발하여 홍도 ~ 흑산도 1박2일 코스입니다.," 천연기념물 170호로 지정되어 화려한 경관을 뽐내는 홍도와 푸르다 못해 검다하여 이름 붙여진 흑산도~ <BR>형형색색의 섬들과 유배문화가 서려있는 아름다운 곳입니다. 바다의 향긋한 내음과 함께 멋진 추억을 만드세요."
